Charge Code,Charge Code Description,CPT4 Code, June 2020 Prices 
1255.0,RB INTENSIVE CARE,,10373.0
7211.0,RB MED/SURG PRIVATE,,5619.0
12518.0,RB CORONARY CARE,,11300.0
17509.0,RB NEWBORN ROUTINE,,4384.0
21253.0,RB MED/SURG SEMI-PRIVATE,,4649.0
27003.0,RB OBSTETRICS LDRP SEMI-PRIVATE,,4649.0
27508.0,RB NEWBORN - LEVEL 2,,8454.0
37507.0,RB NEWBORN - LEVEL 3,,11071.0
42309.0,RB NICU - LEVEL 4,,13335.0
51250.0,RB PEDIATRICS SEMI-PRIVATE,,5534.0
61259.0,RB INTERMEDIATE ICU/TELE,,6748.0
62109.0,RB INTERMEDIATE CCU/TELE,,6748.0
71258.0,RB OBSTETRICS SEMI-PRIVATE,,4649.0
91256.0,RB ISOLATION,,6748.0
100081.0,OBSRV LABOR ROOM/HR,G0378,171.0
100107.0,OBSRV M/S/GYN1/HR,G0378,194.0
100214.0,OBSRV ASMT DIRECT ADMIT1,G0379,270.0
200022.0,L&D ANES LEVEL 1 1ST HR,Z7610,371.0
200030.0,L&D ANES LEVEL 1 ADDL 30M,Z7610,186.0
200048.0,L&D ANES LEVEL 2 1ST HR,Z7610,477.0
200055.0,L&D ANES LEVEL 2 ADDL 30M,Z7610,239.0
200063.0,L&D ANES LEVEL 3 1ST HR,Z7610,901.0
200071.0,L&D ANES LEVEL 3 ADDL 30M,Z7610,345.0
200089.0,L&D ANES LEVEL 4 1ST HR,Z7610,1060.0
200097.0,L&D ANES LEVEL 4 ADDL 30M,Z7610,451.0
200105.0,L&D ANES LEVEL 5 1ST HR,Z7610,1272.0
200113.0,L&D ANES LEVEL 5 ADDL 30M,Z7610,530.0
200162.0,L&D PACU LEVEL 1 1ST HR,Z7512,636.0
200170.0,L&D PACU LEVEL 1 ADDL 30M,Z7512,318.0
200188.0,L&D PACU LEVEL 2 1ST HR,Z7512,1272.0
200196.0,L&D PACU LEVEL 2 ADDL 30M,Z7512,636.0
200204.0,L&D PACU LEVEL 3 1ST HR,Z7512,2544.0
200212.0,L&D PACU LEVEL 3 ADDL 30M,Z7512,1590.0
200220.0,L&D PACU LEVEL 4 1ST HR,Z7512,3816.0
200238.0,L&D PACU LEVEL 4 ADDL 30M,Z7512,2014.0
200246.0,L&D PACU LEVEL 5 1ST HR,Z7512,5088.0
200253.0,L&D PACU LEVEL 5 ADDL 30M,Z7512,2544.0
200261.0,L&D SURG LEVEL 1 1ST HR,Z7506,4028.0
200279.0,L&D SURG LEVEL 1 ADDL 30M,Z7508,1590.0
200287.0,L&D SURG LEVEL 2 1ST HR,Z7506,6890.0
200295.0,L&D SURG LEVEL 2 ADDL 30M,Z7508,3180.0
200303.0,L&D SURG LEVEL 3 1ST HR,Z7506,11130.0
200311.0,L&D SURG LEVEL 3 ADDL 30M,Z7508,4240.0
200329.0,L&D SURG LEVEL 4 1ST HR,Z7506,13250.0
200337.0,L&D SURG LEVEL 4 ADDL 30M,Z7508,5300.0
200345.0,L&D SURG LEVEL 5 1ST HR,Z7506,14840.0
200352.0,L&D SURG LEVEL 5 ADDL 30M,Z7508,6360.0
200360.0,LACTATION EDUC 30M,S9443,85.0
200378.0,VAGINAL DELIVERY LEVEL 1,,6444.0
200386.0,VAGINAL DELIVERY LEVEL 2,,9010.0
200410.0,FETAL CONTR STRESS TEST,,1008.0
200428.0,FETAL NON-STRESS TEST,,1044.0
200436.0,US PREG UTERUS >1ST SNGL,,1819.0
200451.0,US PREG UTERUS LTD 1+,,1094.0
200477.0,US BIOPHYS PROF W/NST,,1819.0
200501.0,VACCINE ADMIN SNGL,,164.0
200519.0,VACCINE ADMIN EA ADDL,,164.0
200600.0,INJECTION IM/SQ,,170.0
200634.0,AUD EVOKED RESP LTD IPSCR,Z9725,376.0
200642.0,NEONATAL RESUSCITATION,,1623.0
200659.0,OBSRV L&D LEVEL 1/HR,G0378,194.0
200675.0,CIRCUMCISION,,3637.0
200717.0,LACTATION CLASS IND 15M,S9443,49.0
200725.0,LACTATION CLASS IND 45M,S9443,139.0
200733.0,LACTATION CLASS IND 60M,S9443,143.0
200741.0,INJ EPIDURAL,Z7610,2258.0
200758.0,NEWBORN METABOLIC SCR PNL,S3620,355.0
200766.0,EXTERNAL CEPHALIC VERSION,,3706.0
200782.0,AUD EVOKED RESP LTD OPSCR,Z9726,376.0
200790.0,AUD EVOKED RESP LTD RESCR,Z9727,318.0
200808.0,LACTATION COUNSEL VISIT,G0463,162.0
200865.0,AU OAE LTD,,376.0
200873.0,INSERT CERVICAL DILATOR,,1454.0
200907.0,VENIPUNCTURE ROUTINE,,65.0
200923.0,CAPILLARY BLD COLLECTION,,24.0
200931.0,LACTATION CLASS IND 120M,S9443,249.0
200998.0,IV HYDRAT THRPY 31-90M,,559.0
201004.0,IV HYDRAT THRPY ADD HR,,338.0
201012.0,IV DX/TX THRPY 1ST HR,,846.0
201020.0,IV DX/TX THRPY ADD HR,,559.0
201038.0,IV DX/TX NEW ADD SEQ MAX1,,559.0
201046.0,IV DX/TX CONCUR MAX1,,559.0
201053.0,INJ IVP SNGL/INTL,,301.0
201061.0,INJ IVP ADD SEQ NEW,,301.0
201095.0,AU OAE LTD IPSCR,Z9725,376.0
201103.0,AU OAE LTD OPSCR,Z9725,376.0
201111.0,AU EVOKED OAE LTD INTERP,Z9727,318.0
201137.0,OBSRV ASMT DIRECT ADMIT,G0379,270.0
201145.0,VISIT EST LEVEL 1,G0463,292.0
201186.0,INJ IVP ADD SEQ SAME,,301.0
201194.0,BILIRUBIN TOTAL TRANSCUT,,90.0
201269.0,PH BODY FLUID NOS,,161.0
201277.0,US Biophysical Profile w/NST Ltd,,1819.0
201285.0,AU OAE SCREENING IP,Z9725,398.0
201293.0,CAR SEAT/BED TEST INFANT-12MO 60M,,96.0
201301.0,CAR SEAT/BED TEST INFANT-12MO ADD30,,48.0
300012.0,HEMODIALYSIS IP SNGL EVAL,,1961.0
300160.0,HEMO ESRD OP UNSCHED/ER,G0257,1961.0
450031.0,AICD DUAL 01,C1721,36600.0
450049.0,AICD OTHER 01,C1882,33345.0
450056.0,AICD SNGL 01,C1722,30000.0
450072.0,BARRIER ADHESION,C1765,1237.0
450163.0,CAGE/SPACER SPINE 01,L8699,7796.25
450486.0,BONE CEMENT/FILL/PUTTY 01,,293.0
450791.0,FILTER VENA CAVA/FEM/JUG,C1880,3700.0
450924.0,IMP BREAST PROSTH 02,L8600,3900.0
451153.0,INTRO/SHEATH GD PEEL,C1892,2800.0
451245.0,LEAD NEUROSTM 01,C1778,190.0
451252.0,LEAD NEUROSTM KT 01,C1897,360.0
451369.0,ROD/NAIL/PIN ORTH/SPINE02,L8699,570.0
451526.0,PCMKR DUAL RR 01,C1785,13065.0
451559.0,PCMKR SNGL RR 01,C1786,12711.0
451567.0,ANCHOR/SCREW BONE 03,C1713,1679.0
451575.0,ANCHOR/SCREW BONE 04,C1713,1254.0
451781.0,ROD/NAIL/PIN ORTH/SPINE03,L8699,928.0
451799.0,ROD/NAIL/PIN ORTH/SPINE04,L8699,1271.0
451807.0,ROD/NAIL/PIN ORTH/SPINE05,,1560.0
451815.0,ROD/NAIL/PIN ORTH/SPINE06,L8699,1700.0
451823.0,ROD/NAIL/PIN ORTH/SPINE07,L8699,2400.0
451831.0,ROD/NAIL/PIN ORTH/SPINE08,L8699,6450.0
451849.0,ROD/NAIL/PIN ORTH/SPINE09,L8699,5618.0
451856.0,ROD/NAIL/PIN ORTH/SPINE10,L8699,7500.0
451864.0,ROD/NAIL/PIN ORTH/SPINE11,L8699,9124.0
451948.0,PLATE ORTHO/SPINE 03,L8699,850.0
451955.0,PLATE ORTHO/SPINE 04,L8699,1373.0
451971.0,PLATE ORTHO/SPINE 06,L8699,2119.0
451989.0,PLATE ORTHO/SPINE 07,L8699,2776.0
451997.0,PLATE ORTHO/SPINE 08,L8699,4106.0
452011.0,PORT INDWELLING 03,A4301,1233.0
452128.0,RECORDER CARDIAC EVENT,E0616,12150.0
452326.0,IMP SEALANT LQ 01,A4649,434.0
452458.0,STENT NON-COR TEMP W/ 01,C2625,406.0
452466.0,STENT NON-COR TEMP WO 01,C2617,241.0
452474.0,PROG PT NEUROSTM,C1787,1278.0
452599.0,PLATE ORTHO/SPINE 05,L8699,3274.0
452763.0,CONNECTOR SPINE 01,L8699,1649.0
452805.0,AGENT HEMOSTASIS 03,A4649,628.0
452813.0,AICD DUAL 02,C1721,34740.0
452839.0,AICD DUAL 04,C1721,51966.0
452847.0,AICD OTHER 02,C1882,40000.0
452854.0,AICD OTHER 03,C1882,52394.0
452862.0,AICD OTHER 04,C1882,51620.0
452870.0,AICD SNGL 02,C1722,33000.0
452888.0,AICD SNGL 03,C1722,43000.0
452904.0,ANCHOR/SCREW BONE 05,C1713,1700.0
452912.0,ANCHOR/SCREW BONE 06,C1713,7969.0
453019.0,BONE HUMAN/SYN 04,L8699,1407.0
453027.0,BONE HUMAN/SYN 05,L8699,2096.0
453035.0,BONE HUMAN/SYN 06,L8699,3200.0
453043.0,BONE HUMAN/SYN 07,L8699,2500.0
453050.0,BONE HUMAN/SYN 08,L8699,2180.0
453076.0,BONE HUMAN/SYN 10,L8699,3720.0
453084.0,BONE HUMAN/SYN 11,Z7610,4983.0
453092.0,BONE HUMAN/SYN 12,L8699,4500.0
453316.0,CAGE/SPACER SPINE 03,L8699,8730.0
453332.0,CAGE/SPACER SPINE 05,L8699,12600.0
453456.0,CATH TRN ANG OTH 02,C1725,1050.0
453464.0,CATH TRN ANG OTH 03,C1725,1050.0
453472.0,CATH TRN ANG OTH 04,C1725,957.0
453605.0,BONE CEMENT/FILL/PUTTY 02,C1713,759.0
453613.0,BONE CEMENT/FILL/PUTTY 03,C1713,1105.0
453639.0,BONE CEMENT/FILL/PUTTY 05,C1713,1747.0
453647.0,BONE CEMENT/FILL/PUTTY 06,C1713,4200.0
453654.0,BONE CEMENT/FILL/PUTTY 07,C1713,4500.0
453662.0,BONE CEMENT/FILL/PUTTY 08,C1713,5864.0
453837.0,IMP CLIP CARDIAC/NEURO 07,L8699,10500.0
453852.0,IMP CLIP CARDIAC/NEURO 09,L8699,4125.0
453860.0,CAGE/SPACER SPINE 06,Z7610,6938.0
453894.0,CONNECTOR SPINE 03,L8699,6007.5
453951.0,DEVICE EXT FIX 03,L8699,385.0
453969.0,DEVICE EXT FIX 04,L8699,744.0
453977.0,DEVICE EXT FIX 05,L8699,1700.0
453985.0,DEVICE EXT FIX 06,L8699,2125.0
453993.0,DEVICE EXT FIX 07,L8699,2113.0
454009.0,DEVICE EXT FIX 08,L8699,3400.0
454025.0,DEVICE EXT FIX 10,L8699,4080.0
454033.0,DEVICE EXT FIX 11,L8699,5625.0
454041.0,DEVICE EXT FIX 12,L8699,5293.0
454116.0,GRAFT VASC ALLO/XEN 02,C1768,650.0
454124.0,GRAFT VASC ALLO/XEN 03,C1768,1594.0
454207.0,GRAFT VASC ALLO/XEN 11,C1768,4384.0
454413.0,GRAFT VASC SYN 06,L8670,2893.0
454421.0,GRAFT VASC SYN 07,L8670,2264.0
454488.0,GRAFT VASC SYN 13,L8670,9105.0
454504.0,GUIDEWIRE 03,C1769,893.0
454512.0,GUIDEWIRE 04,C1769,989.0
454520.0,GUIDEWIRE 05,C1769,1488.0
454629.0,IMP BREAST PROSTH 05,L8600,8130.0
454835.0,ANCHOR/SCREW BONE 10,C1713,3888.0
455576.0,LEAD PCMKR NSNGL 05,C1898,1777.0
455584.0,LEAD PCMKR NSNGL 06,C1898,2176.0
455634.0,LEAD PCMKR TSNGL 05,C1779,2176.0
